Model name :mlp_4_features
Launch training on cuda
Saving best model
{'train_mae_sbp': 10.83886057330716, 'train_mae_dbp': 5.549360352177774, 'val_mae_sbp': 10.918580055236816, 'val_mae_dbp': 5.623083829879761}
{'train_mae_sbp': 10.841900610154674, 'train_mae_dbp': 5.556124379557948, 'val_mae_sbp': 10.912491798400879, 'val_mae_dbp': 5.603105545043945}
{'train_mae_sbp': 10.86455948122086, 'train_mae_dbp': 5.547486505200786, 'val_mae_sbp': 11.00388216972351, 'val_mae_dbp': 5.598414897918701}
Saving best model
{'train_mae_sbp': 10.883862249312863, 'train_mae_dbp': 5.5635266919289865, 'val_mae_sbp': 10.930485010147095, 'val_mae_dbp': 5.629960775375366}
{'train_mae_sbp': 10.842152380174205, 'train_mae_dbp': 5.528730500128962, 'val_mae_sbp': 10.92435622215271, 'val_mae_dbp': 5.629764556884766}
{'train_mae_sbp': 10.79958749586536, 'train_mae_dbp': 5.519416193808278, 'val_mae_sbp': 10.923775434494019, 'val_mae_dbp': 5.588117480278015}
{'train_mae_sbp': 10.780430578416393, 'train_mae_dbp': 5.495290079424458, 'val_mae_sbp': 10.892477750778198, 'val_mae_dbp': 5.586216449737549}
{'train_mae_sbp': 10.805680982528195, 'train_mae_dbp': 5.509164133379536, 'val_mae_sbp': 10.909980535507202, 'val_mae_dbp': 5.591431379318237}
{'train_mae_sbp': 10.777972836648264, 'train_mae_dbp': 5.5006908447511735, 'val_mae_sbp': 10.943113327026367, 'val_mae_dbp': 5.605260252952576}
{'train_mae_sbp': 10.750912481738675, 'train_mae_dbp': 5.484940990324943, 'val_mae_sbp': 10.907488346099854, 'val_mae_dbp': 5.5946654081344604}
{'train_mae_sbp': 10.770923368392452, 'train_mae_dbp': 5.508154638351932, 'val_mae_sbp': 10.901508569717407, 'val_mae_dbp': 5.584892988204956}
{'train_mae_sbp': 10.790180298589892, 'train_mae_dbp': 5.4932931007877475, 'val_mae_sbp': 10.883983850479126, 'val_mae_dbp': 5.595876574516296}
{'train_mae_sbp': 10.79194708793394, 'train_mae_dbp': 5.505756301264609, 'val_mae_sbp': 10.877408266067505, 'val_mae_dbp': 5.582525968551636}
{'train_mae_sbp': 10.752461002719018, 'train_mae_dbp': 5.493892669677734, 'val_mae_sbp': 10.86267638206482, 'val_mae_dbp': 5.58284318447113}
{'train_mae_sbp': 10.76312231248425, 'train_mae_dbp': 5.493694059310421, 'val_mae_sbp': 10.871019840240479, 'val_mae_dbp': 5.600329399108887}
{'train_mae_sbp': 10.752807278786936, 'train_mae_dbp': 5.494709753221081, 'val_mae_sbp': 10.870363473892212, 'val_mae_dbp': 5.5763784646987915}
{'train_mae_sbp': 10.74745725816296, 'train_mae_dbp': 5.485222462684877, 'val_mae_sbp': 10.896550416946411, 'val_mae_dbp': 5.58308744430542}
{'train_mae_sbp': 10.745728554264192, 'train_mae_dbp': 5.492939149179766, 'val_mae_sbp': 10.854702472686768, 'val_mae_dbp': 5.576578974723816}
{'train_mae_sbp': 10.740740560716198, 'train_mae_dbp': 5.4936048599981495, 'val_mae_sbp': 10.870623350143433, 'val_mae_dbp': 5.5802435874938965}
{'train_mae_sbp': 10.785241034723096, 'train_mae_dbp': 5.500963918624386, 'val_mae_sbp': 10.877484321594238, 'val_mae_dbp': 5.586834192276001}
{'train_mae_sbp': 10.764734452770602, 'train_mae_dbp': 5.494677036039291, 'val_mae_sbp': 10.875914812088013, 'val_mae_dbp': 5.575136184692383}
{'train_mae_sbp': 10.766439253284085, 'train_mae_dbp': 5.506025191276304, 'val_mae_sbp': 10.888606786727905, 'val_mae_dbp': 5.57778525352478}
{'train_mae_sbp': 10.769983999190792, 'train_mae_dbp': 5.483928803474672, 'val_mae_sbp': 10.862955093383789, 'val_mae_dbp': 5.5842448472976685}
{'train_mae_sbp': 10.76814805307696, 'train_mae_dbp': 5.486427999311878, 'val_mae_sbp': 10.874654531478882, 'val_mae_dbp': 5.584550142288208}
{'train_mae_sbp': 10.739141894925025, 'train_mae_dbp': 5.472895422289448, 'val_mae_sbp': 10.857207775115967, 'val_mae_dbp': 5.577085971832275}
{'train_mae_sbp': 10.753585077101185, 'train_mae_dbp': 5.484640275278399, 'val_mae_sbp': 10.899789094924927, 'val_mae_dbp': 5.582559108734131}
{'train_mae_sbp': 10.749435701677877, 'train_mae_dbp': 5.487249174425679, 'val_mae_sbp': 10.891576290130615, 'val_mae_dbp': 5.594914197921753}
{'train_mae_sbp': 10.753829771472562, 'train_mae_dbp': 5.47766177884994, 'val_mae_sbp': 10.882637977600098, 'val_mae_dbp': 5.576661586761475}
{'train_mae_sbp': 10.760340198393791, 'train_mae_dbp': 5.473535783829227, 'val_mae_sbp': 10.885550260543823, 'val_mae_dbp': 5.57351016998291}
{'train_mae_sbp': 10.747194905434885, 'train_mae_dbp': 5.478500381592782, 'val_mae_sbp': 10.881430387496948, 'val_mae_dbp': 5.580758571624756}
{'train_mae_sbp': 10.744064484873126, 'train_mae_dbp': 5.478627297186082, 'val_mae_sbp': 10.877104759216309, 'val_mae_dbp': 5.574695587158203}
{'train_mae_sbp': 10.732115591725995, 'train_mae_dbp': 5.481211523855886, 'val_mae_sbp': 10.873590469360352, 'val_mae_dbp': 5.569418549537659}
{'train_mae_sbp': 10.73592653582173, 'train_mae_dbp': 5.4783746657832975, 'val_mae_sbp': 10.868510246276855, 'val_mae_dbp': 5.574289441108704}
{'train_mae_sbp': 10.745789281783566, 'train_mae_dbp': 5.477424498527281, 'val_mae_sbp': 10.871660232543945, 'val_mae_dbp': 5.577158212661743}
{'train_mae_sbp': 10.73864395387711, 'train_mae_dbp': 5.479021764570667, 'val_mae_sbp': 10.863533973693848, 'val_mae_dbp': 5.573107600212097}
{'train_mae_sbp': 10.718948733422064, 'train_mae_dbp': 5.466716304902108, 'val_mae_sbp': 10.869993209838867, 'val_mae_dbp': 5.575442552566528}
{'train_mae_sbp': 10.750020673198085, 'train_mae_dbp': 5.475126958662464, 'val_mae_sbp': 10.868805170059204, 'val_mae_dbp': 5.571801781654358}
{'train_mae_sbp': 10.755953881048388, 'train_mae_dbp': 5.47995138168335, 'val_mae_sbp': 10.87364912033081, 'val_mae_dbp': 5.577179789543152}
{'train_mae_sbp': 10.729986775305964, 'train_mae_dbp': 5.480926329089749, 'val_mae_sbp': 10.868551015853882, 'val_mae_dbp': 5.57584536075592}
{'train_mae_sbp': 10.711236615334787, 'train_mae_dbp': 5.47221895956224, 'val_mae_sbp': 10.86899709701538, 'val_mae_dbp': 5.573400378227234}
{'train_mae_sbp': 10.763681780907415, 'train_mae_dbp': 5.47732537792575, 'val_mae_sbp': 10.862663984298706, 'val_mae_dbp': 5.572274684906006}
